metric,precision,recall,f1
rouge1,0.76156014117662,0.36139191482009186,0.479370646063431
rouge2,0.5570170173965329,0.2697756784048152,0.35291120305554746
rougeL,0.6452480020385981,0.31132330177128353,0.4095962525242688
bert score,0.9055407404899597,0.8540546655654907,0.8788825869560242
